关键词,描述内容
穿戴式外肢体机器人,旨在增强人的力量
穿戴式外肢体机器人,帮助人类移动
穿戴式外肢体机器人,按照动力技术不同
穿戴式外肢体机器人,可穿戴的外骨骼机器人可以分为“主动”和“被动”两类
灵巧手术器械设计,灵巧手术器械设计
灵巧手术器械设计,手术器械是指在临床手术中所使用的医疗器械
灵巧手术器械设计,除常规手术器械外
灵巧手术器械设计,还有一些专科用的器械：骨科、泌尿科、妇产科、烧伤科、整形外科、脑外科、心胸外科、普外科等等
穿戴式辅助增强机器人,穿戴式辅助增强机器人
穿戴式辅助增强机器人,面向负载携行助力需求
穿戴式辅助增强机器人,自主研发了系列化穿戴式外骨骼机器人
穿戴式辅助增强机器人,军用单兵外骨骼实现了高原环境应用测试
穿戴式辅助增强机器人,地震救援、火灾救援外骨骼分别在中国地震应急救援中心、消防部队等完成应用示范
穿戴式辅助增强机器人,成果应邀参加“十二五”科技创新展
穿戴式辅助增强机器人,面向单人作业辅助需求
穿戴式辅助增强机器人,研制了穿戴式外肢体机器人
穿戴式辅助增强机器人,拓展人体独立作业能力
穿戴式辅助增强机器人,广泛应用于特种作业、工业制造等领域
穿戴式辅助增强机器人,解决如核工业、大飞机制造过程中的单人复杂作业难题
模块化自重构机器人,模块化自重构机器人
模块化自重构机器人,模块化自重构机器人(变形机器人)能够完成普通的固定构形机器人所无法完成的复杂操作
模块化自重构机器人,特别适用于工作环境变化大、操作任务复杂的场合
模块化自重构机器人,在空间操作、抢险搜救、反恐侦察、核电站维护等领域有着广阔的应用前景
模块化自重构机器人,它可以构成能够穿越狭小空间的蛇形机器人、能够在不平路面上运动的多足行走机器人、可快速运动的滚动机器人、适于空间应用的柔性操作手等
模块化自重构机器人,由于电子学、微型机电系统及微型传感器技术的发展使得计算单元及微驱动、微传感器单元的体积越来越小
模块化自重构机器人,功能越来越强大
模块化自重构机器人,也有力的推动了自重构机器人由理论研究向工程实践发展
标准模块单元,标准模块单元
标准模块单元,标准单元包括反相器、与门、寄存器、选择器、全加器等多种基本单元
标准模块单元,每一个标准单元对应着多个不同尺寸（W/L）、不同驱动能力的单元电路
标准模块单元,而且不同驱动强度电路都是基本尺寸或最小尺寸的整数倍
标准模块单元,标准单元库
标准模块单元,包括版图库、符号库、电路逻辑库等
标准模块单元,包含了组合逻辑、时序逻辑、功能单元和特殊类型单元
标准模块单元,是集成电路芯片后端设计过程中的基础部分
标准模块单元,运用预先设计好的优化 的库单元进行自动逻辑综合和版图布局布线
标准模块单元,可以极大地提高设计效率
标准模块单元,加快产品进入市场的时间
标准模块单元,一般每个工艺厂商在每个工艺下都会提供相应的标准单元
末端作用器,末端作用器
末端作用器,一个机器人末端执行器指的是任何一个连接在机器人边缘（关节）具有一定功能的工具
末端作用器,这可能包含机器人抓手
末端作用器,机器人工具快换装置
末端作用器,机器人碰撞传感器
末端作用器,机器人旋转连接器
末端作用器,机器人压力工具
末端作用器,顺从装置
末端作用器,机器人喷涂枪
末端作用器,机器人毛刺清理工具
末端作用器,机器人弧焊焊枪
末端作用器,机器人电焊焊枪等等
末端作用器,机器人末端执行器通常被认为是机器人的外围设备
末端作用器,机器人的附件
末端作用器,机器人工具
末端作用器,手臂末端工具
机械臂,机械臂
机械臂,机械手臂是机械人技术领域中得到最广泛实际应用的自动化机械装置
机械臂,在工业制造、医学治疗、娱乐服务、军事、半导体制造以及太空探索等领域都能见到它的身影
机械臂,尽管它们的形态各有不同
机械臂,但它们都有一个共同的特点
机械臂,就是能够接受指令
机械臂,精确地定位到三维（或二维）空间上的某一点进行作业
高超声速飞行器,高超声速飞行器
高超声速飞行器,高超声速飞行器是指飞行速度超过5倍音速的飞机、导弹、炮弹之类的有翼或无翼飞行器
高超声速飞行器,具有突防成功率高的特点
高超声速飞行器,有着巨大的军事价值和潜在的经济价值
智能服务机器人,智能服务机器人
智能服务机器人,智能服务机器人是在非结构环境下为人类提供必要服务的多种高技术集成的智能化装备
智能服务机器人,主要以服务机器人和危险作业机器人应用需求为研究重点
智能服务机器人,研究设计方法、制造工艺、智能控制和应用系统集成等共性基础技术
医疗机器人研究项目,医疗机器人研究项目
医疗机器人研究项目,医疗机器人是指用于医院、诊所、康复中心等医疗场景的医疗或辅助医疗的机器人
医疗机器人研究项目,医疗机器人能够辅助医生
医疗机器人研究项目,扩展医生的能力
医疗机器人研究项目,具有医用性、临床适应性以及良好交互性三大特点
医疗机器人研究项目,然医疗机器人在机器人应用中是一个相对较小的细分市场
医疗机器人研究项目,但作为单位价值最高的服务机器人
医疗机器人研究项目,医疗机器人成为当前机器人行业和医疗行业发展和投资的热点
医疗机器人研究项目,根据国际机器人联合会（IFR）分类
医疗机器人研究项目,医疗机器人可以分为手术机器人、康复机器人、辅助机器人、服务机器人四大类
力反馈感知,力反馈感知
力反馈感知,力反馈近几年研发出来的虚拟手术系统
力反馈感知,为医生提供一个虚拟的3D环境以及可交互操作平台
力反馈感知,逼真的模拟临床手术的全过程
力反馈感知,与传统的手术教学相比
力反馈感知,虚拟手术具有无损伤性、可重复性和可指定性等优点
力反馈感知,但是
力反馈感知,该领域的大部分研究仅限于仿真的可视化阶段
力反馈感知,由于缺乏触觉效果
力反馈感知,医生在虚拟环境下完成的手术与临床环境差别很大
力反馈感知,为了解决上述难题
力反馈感知,力反馈概念引入虚拟手术系统
力反馈感知,通过对手术器械和软组织等形变过程进行实时数值计算
力反馈感知,模拟出软组织的变形情况和器械受力状态
力反馈感知,并通过外接的力反馈输出设备（图1）
力反馈感知,使医生在手术操作中
力反馈感知,感知到反馈力的存在
力反馈感知,更好的达到临床手术的训练效果
腹腔微创手术机器人,腹腔微创手术机器人
腹腔微创手术机器人,腹腔微创手术机器人
腹腔微创手术机器人,全称为“内窥镜手术器械控制系统”
腹腔微创手术机器人,由其标配“三件套”控制台、手术机械臂和三维成像系统组成
腹腔微创手术机器人,系统配备高清、放大的视野及灵巧精密的微创手术器械
腹腔微创手术机器人,可在微小创伤切口前提下
腹腔微创手术机器人,精准抵达手术部位
腹腔微创手术机器人,可以从本质上改变传统腔镜外科手术模式
腹腔微创手术机器人,在术野狭小、大血管周围或重要脏器部位进行高风险、精细手术操作时
腹腔微创手术机器人,具有传统技术所不可比拟的优越性
码垛机器人,码垛机器人
码垛机器人,码垛机器人
码垛机器人,是机械与计算机程序有机结合的产物
码垛机器人,为现代生产提供了更高的生产效率
码垛机器人,码垛机器在码垛行业有着相当广泛的应用
码垛机器人,码垛机器人大大节省了劳动力
码垛机器人,节省空间
码垛机器人,码垛机器人运作灵活精准、快速高效、稳定性高
码垛机器人,作业效率高
码垛机器人,码垛机器人系统采用专利技术的坐标式机器人的安装占用空间灵活紧凑
码垛机器人,能够在较小的占地面积范围内建造高效节能的全自动砌块成型机生产线的构想变成现实
电石出炉机器人,电石出炉机器人
电石出炉机器人,电石出炉是电石生产的关键工序之一
电石出炉机器人,主要包括炉前和捣炉作业
电石出炉机器人,电石出炉机器人系统包括炉前作业机器人和捣炉机器人两大系统
电石出炉机器人,电石出炉机器人可以在复杂、高温、危险的环境下作业
电石出炉机器人,在降低出炉工劳动强度的同时
电石出炉机器人,可以提高出炉操作的效率和精准度
人机协作型工业机器人,人机协作型工业机器人
人机协作型工业机器人,人机协作型工业机器人简称协作性机器人
人机协作型工业机器人,指被设计成可以在协作区域内与人直接进行交互的机器人
人机协作型工业机器人,本质上讲
人机协作型工业机器人,协作机器人与传统机器人之间并没有非常大的不同
人机协作型工业机器人,只是基于不同的设计理念生产的工业机器人产品
人机协作型工业机器人,在协作机器人发展初期
人机协作型工业机器人,很多都是从传统机器人的基础上改造的
人机协作型工业机器人,但协作机器人与传统机器人相比
人机协作型工业机器人,更加灵活高效
人机协作型工业机器人,易于部署和替换
人机协作型工业机器人,但运行速度和负载能力一般低于传统的机器人
核反应堆压力容器检查机器人,核反应堆压力容器检查机器人
核反应堆压力容器检查机器人,反应堆压力容器是核能发电的关键设备
核反应堆压力容器检查机器人,而且是特别容易出问题的设备之一
核反应堆压力容器检查机器人,对反应堆压力容器进行定期检查和维修是十分重要的
核反应堆压力容器检查机器人,哈尔滨工业大学与中核武汉核电运行技术股份有限公司联合研制成功具有自主知识产权的核反应堆压力容器检查机器人系统
核反应堆压力容器检查机器人,该机器人系统实现了核反应堆压力容器的自动化检查
核反应堆压力容器检查机器人,遥操作系统具有全三维动态模拟及实际控制、可离线编程仿真、测量及干涉检测等功能
核反应堆压力容器检查机器人,本系统已通过了由CNPO 组织的UK-IVC（英国验证中心）认证
核反应堆压力容器检查机器人,是国内首个通过 IVC 认证的、具有自主知识产权的核反应堆压力容器检查机器人系统
核反应堆压力容器检查机器人,具备了在核反应堆实际现场应用的资质
核反应堆压力容器检查机器人,同时打破了此类产品被西屋等国外公司长期垄断的局面
核反应堆压力容器检查机器人,该系统于2011 年完成秦山核电站3、4 号反应堆压力容器机组役前、在役检测
核反应堆压力容器检查机器人,并在役前检查中成功检出 3 号反应堆中某压力容器存在缺陷
核反应堆压力容器检查机器人,避免了重大核事故的发生
微纳机器人,微纳机器人
微纳机器人,微纳机器人是实验室面对世界科技前沿做的一些内容
微纳机器人,微纳游动机器人指能在液体中游动的尺寸在1 nm~100μm左右的机器人
微纳机器人,为介入式健康监测、超微诊断、靶向给药等提供变革性手段
